row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
16194,JXC,JXC112423923,1954177,,6,12,11~24~30~37~42,11,24,30,37,42,TU,01.01.2019,2.00,EUR,EUMI
16195,JXC,JXC112423923,1954177,,5,9,2~15~26~40~42,2,15,26,40,42,TU,01.01.2019,2.00,EUR,EUMI
16196,JXC,JXC112423926,1488931,,6,10,1~17~35~40~48,1,17,35,40,48,TU,01.01.2019,2.00,EUR,EUMI
16197,JXC,JXC112423926,1488931,,3,5,8~30~31~35~43,8,30,31,35,43,TU,01.01.2019,2.00,EUR,EUMI
16198,JXC,JXC112423926,1488931,,2,10,14~26~30~37~41,14,26,30,37,41,TU,01.01.2019,2.00,EUR,EUMI
16199,JXC,JXC112423926,1488931,,1,5,8~13~18~35~39,8,13,18,35,39,TU,01.01.2019,2.00,EUR,EUMI
16200,JXC,JXC112423926,1488931,,5,9,4~10~28~31~38,4,10,28,31,38,TU,01.01.2019,2.00,EUR,EUMI
16201,JXC,JXC112423951,1954177,,4,9,7~15~23~41~49,7,15,23,41,49,TU,01.01.2019,2.00,EUR,EUMI
16202,JXC,JXC112423951,1954177,,5,7,2~16~29~43~46,2,16,29,43,46,TU,01.01.2019,2.00,EUR,EUMI
16203,JXC,JXC112423951,1954177,,1,7,16~25~27~40~47,16,25,27,40,47,TU,01.01.2019,2.00,EUR,EUMI
16204,JXC,JXC112423966,1081886,,5,12,6~18~20~30~42,6,18,20,30,42,TU,01.01.2019,2.00,EUR,EUMI
16205,JXC,JXC112423966,1081886,,6,8,26~27~33~43~45,26,27,33,43,45,TU,01.01.2019,2.00,EUR,EUMI
16206,JXC,JXC112423966,1081886,,5,11,1~3~23~44~49,1,3,23,44,49,TU,01.01.2019,2.00,EUR,EUMI
16207,JXC,JXC112423966,1081886,,4,11,15~20~23~29~45,15,20,23,29,45,TU,01.01.2019,2.00,EUR,EUMI
16208,JXC,JXC112423966,1081886,,4,12,2~25~40~41~44,2,25,40,41,44,TU,01.01.2019,2.00,EUR,EUMI
16209,JXC,JXC112424161,1792361,,5,8,12~32~34~42~45,12,32,34,42,45,TU,01.01.2019,2.00,EUR,EUMI
16210,JXC,JXC112424161,1792361,,6,10,6~28~36~40~49,6,28,36,40,49,TU,01.01.2019,2.00,EUR,EUMI
16211,JXC,JXC112424161,1792361,,3,10,3~4~23~37~45,3,4,23,37,45,TU,01.01.2019,2.00,EUR,EUMI
16212,JXC,JXC112424161,1792361,,10,11,13~22~24~44~46,13,22,24,44,46,TU,01.01.2019,2.00,EUR,EUMI
16213,JXC,JXC112424161,1792361,,2,7,12~19~27~32~49,12,19,27,32,49,TU,01.01.2019,2.00,EUR,EUMI
16214,JXC,JXC112424177,98395,,2,11,10~18~38~42~49,10,18,38,42,49,TU,01.01.2019,2.00,EUR,EUMI
16215,JXC,JXC112424177,98395,,1,11,11~15~32~35~44,11,15,32,35,44,TU,01.01.2019,2.00,EUR,EUMI
16216,JXC,JXC112424201,1442912,,9,11,7~27~33~43~47,7,27,33,43,47,TU,01.01.2019,2.00,EUR,EUMI
16217,JXC,JXC112424201,1442912,,6,12,3~29~36~39~46,3,29,36,39,46,TU,01.01.2019,2.00,EUR,EUMI
